S/N,Cinema,No. of Screens,Year,Region
197,EbonyLife Cinemas,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
198,FilmHouse Circle Mall,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
199,FilmHouse Ikota,6,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
200,FilmHouse Landmark,6,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
201,FilmHouse Lekki,6,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
202,FilmHouse Oniru,3,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
203,FilmHouse Palms Lekki,3,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
204,FilmHouse Surulere,8,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
205,Filmworld Cinemas,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
206,Genesis Festival Mall,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
207,Genesis Lekki Purple Mall,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
208,Genesis Maryland Mall,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
209,Grand Cinemas,6,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
210,Heritage Cinema Lagos,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
211,Jewel Aieda Cinema,1,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
212,KAP Cinemas,1,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
213,Labi Oasis Cinema,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
214,Magnificent Cinemas Somolu,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
215,Mega 1 Cinemas,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
216,Nova Cinema Novare Lekki Mall,5,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
217,Ozone Yaba,6,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
218,Pepperoni Cinemas Lagos,3,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
219,Royal Roots Cinema,5,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
220,Silverbird Banex Mall Lekki,3,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
221,Silverbird Galleria,5,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
222,Silverbird Ikeja,5,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
223,Sky Cinemas,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
224,THC Cinemax,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
225,Viva Ikeja,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
226,Azers Cinema,2,2024,South-West Sites (DCI)
227,Capricorn Cinemas,1,2024,South-West Sites (DCI)
228,Heritage Cinema Mowe,1,2024,South-West Sites (DCI)
229,Majestik Cinemas,1,2024,South-West Sites (DCI)
230,OOPL Cinema Aje Palace,2,2024,South-West Sites (DCI)
231,OOPL Cinema Oke-Mosan,1,2024,South-West Sites (DCI)
232,Viva Ota,4,2024,South-West Sites (DCI)
233,Voicenel Cinemas,1,2024,South-West Sites (DCI)
234,WosAm Cinema,4,2024,South-West Sites (DCI)
235,FilmHouse Akure,5,2024,South-West Sites (DCI)
236,Ojaia Cinemas Akure,3,2024,South-West Sites (DCI)
237,Imagine Cinemas OAU,1,2024,South-West Sites (DCI)
238,Imperial Cinema Osun,4,2024,South-West Sites (DCI)
239,Ojaia Cinemas Ile-Ife,2,2024,South-West Sites (DCI)
240,Timsed Cinema,1,2024,South-West Sites (DCI)
241,Ace Cinema Bodija,1,2024,South-West Sites (DCI)
242,Ace Cinema Oluyole,1,2024,South-West Sites (DCI)
243,Ace Cinema Saki,1,2024,South-West Sites (DCI)
244,FilmHouse Dugbe,4,2024,South-West Sites (DCI)
245,FilmHouse Samonda,3,2024,South-West Sites (DCI)
246,G2G Cinemas,1,2024,South-West Sites (DCI)
247,Iris Cinema,1,2024,South-West Sites (DCI)
248,Vintage Cinemas,1,2024,South-West Sites (DCI)
249,Viva Ibadan,3,2024,South-West Sites (DCI)
250,Mees Palace,2,2024,North Central Sites (DCI)
251,Box Office Cinemas Limited,3,2024,South-South Sites (DCI)
252,Downtown Cinemas,2,2024,South-South Sites (DCI)
253,FilmHouse Garden City,5,2024,South-South Sites (DCI)
254,Genesis Port Harcourt,10,2024,South-South Sites (DCI)
255,Grenhauz Cinemas Port Harcourt,5,2024,South-South Sites (DCI)
256,Kada Port Harcourt,3,2024,South-South Sites (DCI)
257,Pepperoni Cinemas Port Harcourt,2,2024,South-South Sites (DCI)
